-                   	data                	identity            	time                
385                 	106248              	386                 	2021-12-22 12:45:25.002000
386                 	100920              	387                 	2021-12-22 12:45:25.002000
387                 	100913              	388                 	2021-12-22 12:45:25.002000
388                 	101942              	389                 	2021-12-22 12:45:25.002000
389                 	106752              	390                 	2021-12-22 12:45:25.002000
390                 	100900              	391                 	2021-12-22 12:45:25.002000
391                 	105822              	392                 	2021-12-22 12:45:25.002000
392                 	100926              	393                 	2021-12-22 12:45:25.002000
393                 	100913              	394                 	2021-12-22 12:45:25.002000
394                 	100887              	395                 	2021-12-22 12:45:25.017000
395                 	100887              	396                 	2021-12-22 12:45:25.017000
396                 	100939              	397                 	2021-12-22 12:45:25.017000
397                 	100939              	398                 	2021-12-22 12:45:25.017000
398                 	124519              	399                 	2021-12-22 12:45:25.017000
399                 	110390              	400                 	2021-12-22 12:45:25.017000
400                 	105062              	401                 	2021-12-22 12:45:25.017000
401                 	100894              	402                 	2021-12-22 12:45:25.017000
402                 	100894              	403                 	2021-12-22 12:45:25.017000
403                 	109708              	404                 	2021-12-22 12:45:25.033000
404                 	101103              	405                 	2021-12-22 12:45:25.033000
405                 	100900              	406                 	2021-12-22 12:45:25.033000
406                 	100992              	407                 	2021-12-22 12:45:25.033000
407                 	105297              	408                 	2021-12-22 12:45:25.033000
408                 	100880              	409                 	2021-12-22 12:45:25.033000
409                 	109957              	410                 	2021-12-22 12:45:25.033000
410                 	108777              	411                 	2021-12-22 12:45:25.033000
411                 	110757              	412                 	2021-12-22 12:45:25.033000
412                 	100939              	413                 	2021-12-22 12:45:25.033000
413                 	109885              	414                 	2021-12-22 12:45:25.049000
414                 	100900              	415                 	2021-12-22 12:45:25.049000
415                 	100926              	416                 	2021-12-22 12:45:25.049000
416                 	105350              	417                 	2021-12-22 12:45:25.049000
417                 	105940              	418                 	2021-12-22 12:45:25.049000
418                 	100926              	419                 	2021-12-22 12:45:25.049000
419                 	114839              	420                 	2021-12-22 12:45:25.049000
420                 	105429              	421                 	2021-12-22 12:45:25.049000
421                 	110095              	422                 	2021-12-22 12:45:25.049000
422                 	100907              	423                 	2021-12-22 12:45:25.064000
423                 	109813              	424                 	2021-12-22 12:45:25.064000
424                 	109046              	425                 	2021-12-22 12:45:25.064000
425                 	105612              	426                 	2021-12-22 12:45:25.064000
426                 	100913              	427                 	2021-12-22 12:45:25.064000
427                 	100926              	428                 	2021-12-22 12:45:25.064000
428                 	107925              	429                 	2021-12-22 12:45:25.064000
429                 	100952              	430                 	2021-12-22 12:45:25.064000
430                 	100946              	431                 	2021-12-22 12:45:25.064000
431                 	109819              	432                 	2021-12-22 12:45:25.064000
432                 	100920              	433                 	2021-12-22 12:45:25.064000
433                 	100926              	434                 	2021-12-22 12:45:25.080000
434                 	100952              	435                 	2021-12-22 12:45:25.080000
435                 	100985              	436                 	2021-12-22 12:45:25.080000
436                 	110062              	437                 	2021-12-22 12:45:25.080000
437                 	105173              	438                 	2021-12-22 12:45:25.080000
438                 	117402              	439                 	2021-12-22 12:45:25.080000
439                 	100907              	440                 	2021-12-22 12:45:25.080000
440                 	100913              	441                 	2021-12-22 12:45:25.080000
441                 	112277              	442                 	2021-12-22 12:45:25.096000
442                 	104799              	443                 	2021-12-22 12:45:25.096000
443                 	107408              	444                 	2021-12-22 12:45:25.096000
444                 	101916              	445                 	2021-12-22 12:45:25.096000
445                 	100900              	446                 	2021-12-22 12:45:25.096000
446                 	100933              	447                 	2021-12-22 12:45:25.096000
447                 	108076              	448                 	2021-12-22 12:45:25.096000
448                 	100900              	449                 	2021-12-22 12:45:25.096000
449                 	108902              	450                 	2021-12-22 12:45:25.096000
450                 	101752              	451                 	2021-12-22 12:45:25.096000
451                 	100933              	452                 	2021-12-22 12:45:25.096000
452                 	111536              	453                 	2021-12-22 12:45:25.111000
453                 	110376              	454                 	2021-12-22 12:45:25.111000
454                 	105461              	455                 	2021-12-22 12:45:25.111000
455                 	109872              	456                 	2021-12-22 12:45:25.111000
456                 	105763              	457                 	2021-12-22 12:45:25.111000
457                 	105258              	458                 	2021-12-22 12:45:25.111000
